pos,variable,label,col_type,missing,value_labels
663,san1_3,Unchanging Facial Expression,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5)"
664,san2_3,Decreased Spontaneous Movements,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
665,san3_3,Paucityof Expressive Gestures,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
666,san4_3,Poor Eye Contact,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
667,san5_3,Affective Nonresponsivity,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
668,san6_3,Inappropriate Affect,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
669,san7_3,Lack of Vocal Inflections,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
670,san8_3,Global Rating of Affective Flattening,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
671,san9_3,Poverty of Speech,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
672,san10_3,Poverty of Content of Speech,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
673,san11_3,Blocking,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
674,san12_3,Increased Latency of Response,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
675,san13_3,Global Rating of Alogia,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
676,san14_3,Grooming and Hygiene,dbl+lbl,200,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
677,san15_3,Impersistence at Work or School,dbl+lbl,202,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
678,san16_3,Physical Anergia,dbl+lbl,202,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
679,san17_3,Global Rating of Avolition - Apathy,dbl+lbl,201,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
680,san18_3,Recreational Interests and Activities,dbl+lbl,202,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
681,san19_3,Sexual Activity,dbl+lbl,205,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
682,san20_3,Ability to Feel Intimacy and Closeness,dbl+lbl,202,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
683,san21_3,Relationships with Friends and Peers,dbl+lbl,202,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
684,san22_3,Global Rating of Anhedonia - Asociality,dbl+lbl,202,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
685,san23_3,Social Inattentiveness,dbl+lbl,205,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
686,san24_3,Inattentiveness During Mental Status Testing,dbl+lbl,214,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
687,san25_3,Global Rating of Attention,dbl+lbl,208,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
688,san1_6,Unchanging Facial Expression,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
689,san2_6,Decreased Spontaneous Movements,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
690,san3_6,Paucityof Expressive Gestures,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
691,san4_6,Poor Eye Contact,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
692,san5_6,Affective Nonresponsivity,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
693,san6_6,Inappropriate Affect,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
694,san7_6,Lack of Vocal Inflections,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
695,san8_6,Global Rating of Affective Flattening,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
696,san9_6,Poverty of Speech,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
697,san10_6,Poverty of Content of Speech,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
698,san11_6,Blocking,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
699,san12_6,Increased Latency of Response,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
700,san13_6,Global Rating of Alogia,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
701,san14_6,Grooming and Hygiene,dbl+lbl,242,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
702,san15_6,Impersistence at Work or School,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
703,san16_6,Physical Anergia,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
704,san17_6,Global Rating of Avolition - Apathy,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
705,san18_6,Recreational Interests and Activities,dbl+lbl,244,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
706,san19_6,Sexual Activity,dbl+lbl,246,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
707,san20_6,Ability to Feel Intimacy and Closeness,dbl+lbl,245,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
708,san21_6,Relationships with Friends and Peers,dbl+lbl,244,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
709,san22_6,Global Rating of Anhedonia - Asociality,dbl+lbl,244,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
710,san23_6,Social Inattentiveness,dbl+lbl,243,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
711,san24_6,Inattentiveness During Mental Status Testing,dbl+lbl,249,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
712,san25_6,Global Rating of Attention,dbl+lbl,245,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
713,san1_9,Unchanging Facial Expression,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
714,san2_9,Decreased Spontaneous Movements,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
715,san3_9,Paucityof Expressive Gestures,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
716,san4_9,Poor Eye Contact,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
717,san5_9,Affective Nonresponsivity,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
718,san6_9,Inappropriate Affect,dbl+lbl,322,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
719,san7_9,Lack of Vocal Inflections,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
720,san8_9,Global Rating of Affective Flattening,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
721,san9_9,Poverty of Speech,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
722,san10_9,Poverty of Content of Speech,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
723,san11_9,Blocking,dbl+lbl,325,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
724,san12_9,Increased Latency of Response,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
725,san13_9,Global Rating of Alogia,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
726,san14_9,Grooming and Hygiene,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
727,san15_9,Impersistence at Work or School,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
728,san16_9,Physical Anergia,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
729,san17_9,Global Rating of Avolition - Apathy,dbl+lbl,323,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
730,san18_9,Recreational Interests and Activities,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
731,san19_9,Sexual Activity,dbl+lbl,321,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
732,san20_9,Ability to Feel Intimacy and Closeness,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
733,san21_9,Relationships with Friends and Peers,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
734,san22_9,Global Rating of Anhedonia - Asociality,dbl+lbl,320,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
735,san23_9,Social Inattentiveness,dbl+lbl,323,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
736,san24_9,Inattentiveness During Mental Status Testing,dbl+lbl,332,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
737,san25_9,Global Rating of Attention,dbl+lbl,327,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
738,san1_12,Unchanging Facial Expression,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
739,san2_12,Decreased Spontaneous Movements,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
740,san3_12,Paucityof Expressive Gestures,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
741,san4_12,Poor Eye Contact,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
742,san5_12,Affective Nonresponsivity,dbl+lbl,303,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
743,san6_12,Inappropriate Affect,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
744,san7_12,Lack of Vocal Inflections,dbl+lbl,303,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
745,san8_12,Global Rating of Affective Flattening,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
746,san9_12,Poverty of Speech,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
747,san10_12,Poverty of Content of Speech,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
748,san11_12,Blocking,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
749,san12_12,Increased Latency of Response,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
750,san13_12,Global Rating of Alogia,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
751,san14_12,Grooming and Hygiene,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
752,san15_12,Impersistence at Work or School,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
753,san16_12,Physical Anergia,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
754,san17_12,Global Rating of Avolition - Apathy,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
755,san18_12,Recreational Interests and Activities,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
756,san19_12,Sexual Activity,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
757,san20_12,Ability to Feel Intimacy and Closeness,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
758,san21_12,Relationships with Friends and Peers,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
759,san22_12,Global Rating of Anhedonia - Asociality,dbl+lbl,302,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
760,san23_12,Social Inattentiveness,dbl+lbl,303,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
761,san24_12,Inattentiveness During Mental Status Testing,dbl+lbl,310,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
762,san25_12,Global Rating of Attention,dbl+lbl,304,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
763,san1_18,Unchanging Facial Expression,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
764,san2_18,Decreased Spontaneous Movements,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
765,san3_18,Paucityof Expressive Gestures,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
766,san4_18,Poor Eye Contact,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
767,san5_18,Affective Nonresponsivity,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
768,san6_18,Inappropriate Affect,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
769,san7_18,Lack of Vocal Inflections,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
770,san8_18,Global Rating of Affective Flattening,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
771,san9_18,Poverty of Speech,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
772,san10_18,Poverty of Content of Speech,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
773,san11_18,Blocking,dbl+lbl,338,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
774,san12_18,Increased Latency of Response,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
775,san13_18,Global Rating of Alogia,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
776,san14_18,Grooming and Hygiene,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
777,san15_18,Impersistence at Work or School,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
778,san16_18,Physical Anergia,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
779,san17_18,Global Rating of Avolition - Apathy,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
780,san18_18,Recreational Interests and Activities,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
781,san19_18,Sexual Activity,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
782,san20_18,Ability to Feel Intimacy and Closeness,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
783,san21_18,Relationships with Friends and Peers,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
784,san22_18,Global Rating of Anhedonia - Asociality,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
785,san23_18,Social Inattentiveness,dbl+lbl,335,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
786,san24_18,Inattentiveness During Mental Status Testing,dbl+lbl,339,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
787,san25_18,Global Rating of Attention,dbl+lbl,337,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
788,san1_24,Unchanging Facial Expression,dbl+lbl,360,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
789,san2_24,Decreased Spontaneous Movements,dbl+lbl,360,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
790,san3_24,Paucity of Expressive Gestures,dbl+lbl,360,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
791,san4_24,Poor Eye Contact,dbl+lbl,360,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
792,san5_24,Affective Nonresponsivity,dbl+lbl,358,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
793,san6_24,Inappropriate Affect,dbl+lbl,359,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
794,san7_24,Lack of Vocal Inflections,dbl+lbl,359,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
795,san8_24,Global Rating of Affective Flattening,dbl,359,NULL
796,san9_24,Poverty of Speech,dbl+lbl,358,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
797,san10_24,Poverty of Content of Speech,dbl+lbl,358,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
798,san11_24,Blocking,dbl+lbl,360,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
799,san12_24,Increased Latency of Response,dbl+lbl,358,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
800,san13_24,Global Rating of Alogia,dbl+lbl,358,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
801,san14_24,Grooming and Hygiene,dbl+lbl,359,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
802,san15_24,Impersistence at Work or School,dbl+lbl,360,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
803,san16_24,Physical Anergia,dbl+lbl,358,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
804,san17_24,Global Rating of Avolition - Apathy,dbl+lbl,360,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
805,san18_24,Recreational Interests and Activities,dbl+lbl,358,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
806,san19_24,Sexual Activity,dbl+lbl,360,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
807,san20_24,Ability to Feel Intimacy and Closeness,dbl+lbl,359,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
808,san21_24,Relationships with Friends and Peers,dbl+lbl,358,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
809,san22_24,Global Rating of Anhedonia - Asociality,dbl+lbl,358,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
810,san23_24,Social Inattentiveness,dbl+lbl,358,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
811,san24_24,Inattentiveness During Mental Status Testing,dbl+lbl,364,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
812,san25_24,Global Rating of Attention,dbl+lbl,361,"c(None = 0, Questionable = 1, Mild = 2, Moderate = 3, Marked = 4, Severe = 5, Missing = 77)"
813,ha1_0,Anxious Mood,dbl+lbl,214,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
814,ha2_0,Tension,dbl+lbl,218,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
815,ha3_0,Fears,dbl+lbl,219,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
816,ha4_0,Somatic muscular,dbl+lbl,222,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
817,ha5_0,Somatic sensory,dbl+lbl,225,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
818,ha6_0,Cardiovascular symptoms,dbl+lbl,224,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
819,ha7_0,Respiratory symptoms,dbl+lbl,224,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
820,ha8_0,Gastrointestinal symptoms,dbl+lbl,222,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
821,ha9_0,Genitourinary symptoms,dbl+lbl,223,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
822,ha10_0,Autonomic symptoms,dbl+lbl,221,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
823,ha11_0,Insomnia Early,dbl+lbl,218,"c(`no difficulty falling asleep` = 0, `complains of occasional difficulty falling asleep` = 1, `complains of nightly difficulty falling asleep` = 2)"
824,ha12_0,Agitation,dbl+lbl,220,"c(none = 0, fidgetiness = 1, `playing with hands, hair, etc.` = 2, `moving about, can't sit still` = 3, `hand wringing, nail biting, hair pulling, biting of lips` = 4)"
825,ha13_0,Hypochondriasis,dbl+lbl,217,"c(`not present` = 0, `self abosrption (bodily)` = 1, `preocupation with health` = 2, `frequent complaints, request for help, etc.` = 3, `hypochondriacal delusion` = 4)"
826,ha14_0,Behaviour at Interview,dbl+lbl,224,"c(absent = 0, mild = 1, moderate = 2, severe = 3, `very severe` = 4)"
827,ha1_1,Anxious Mood,dbl+lbl,407,"c(absent = 0, mild = 1, moderate = 2, severe = 3)"
828,ha2_1,Tension,dbl+lbl,407,"c(absent = 0, mild = 1, moderate = 2, severe = 3)"
829,ha3_1,Fears,dbl+lbl,407,"c(absent = 0, mild = 1, moderate = 2, severe = 3)"
830,ha4_1,Somatic muscular,dbl+lbl,408,"c(absent = 0, mild = 1, moderate = 2, severe = 3)"
831,ha5_1,Somatic sensory,dbl+lbl,410,"c(absent = 0, mild = 1, moderate = 2, severe = 3)"
832,ha6_1,Cardiovascular symptoms,dbl+lbl,411,"c(absent = 0, mild = 1, moderate = 2, severe = 3)"
833,ha7_1,Respiratory symptoms,dbl+lbl,410,"c(absent = 0, mild = 1, moderate = 2, severe = 3)"
834,ha8_1,Gastrointestinal symptoms,dbl+lbl,410,"c(absent = 0, mild = 1, moderate = 2, severe = 3)"
835,ha9_1,Genitourinary symptoms,dbl+lbl,410,"c(absent = 0, mild = 1, moderate = 2, severe = 3)"
836,ha10_1,Autonomic symptoms,dbl+lbl,409,"c(absent = 0, mild = 1, moderate = 2, severe = 3)"
